id_seq,id,latitude,longitude,species,site,,,,,
PL1_PoolX_A11_2012,A11_2012,-12.90433,49.33725,E. carletoni,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_A23_E_12,A23_2012,-12.89529,49.35853,E. carletoni,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_A27_2012,A27_2012,-12.95736,49.20354,E. carletoni,SERA,,,Madagascar:SERA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_A39_2013,A39_2013,-13.61952,50.00191,E. carletoni,ANALV,,,Madagascar:ANALV,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_A42_2012,A42_2012,-12.95253,49.21246,E. carletoni,SERA,,,Madagascar:SERA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_A46_2012,A46_2012,-13.79328,49.51964,E. carletoni,ANDR,,,Madagascar:ANDR,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_48_A53_2012,A53_2012,-12.95103,49.207,E. carletoni,SERA,,,Madagascar:SERA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_A77_D_28,A77_2012,-12.80272,49.39316,E. carletoni,ANALM,,,Madagascar:ANALM,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_46_B45_2012,B45_2012,-12.91802,49.29342,E. carletoni,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_B62_2013_C_16,B62_2013,-13.43622,49.71942,E. carletoni,SAL,,,Madagascar:SAL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_B64_2013,B64_2013,-13.44856,49.72165,E. carletoni,SAL,,,Madagascar:SAL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_B80_D_2,B80_2012,-12.90378,49.33675,E. carletoni,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_30_BC50_2017,BC50_2017,-12.50323,49.17526,E. carletoni,M_AMBRE_NORTH,,,Madagascar:M_AMBRE_NORTH,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_12_C28_2012,C28_2012,-12.81092,49.41023,E. carletoni,ANALM,,,Madagascar:ANALM,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_C34_C_16,C34_2012,-12.83342,49.37071,E. carletoni,ANALM,,,Madagascar:ANALM,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_28_C35_2013,C35_2013,-13.55742,49.89869,E. carletoni,BEZ,,,Madagascar:BEZ,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_D16_E_10,D16_2012,-13.1176,49.21146,E. carletoni,TSAKA,,,Madagascar:TSAKA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_D21_2011,D21_2011,-13.17053,49.70282,E. carletoni,BEK,,,Madagascar:BEK,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_E28_2011,E28_2011,-13.22633,49.76224,E. carletoni,BOB,,,Madagascar:BOB,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_E64_E_1,E64_2011,-13.11064,49.70809,E. carletoni,BEK,,,Madagascar:BEK,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_F116_C_37,F116_2012,-12.95697,49.03563,E. carletoni,ANDRAF,,,Madagascar:ANDRAF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_F126_B_14,F126_2012,-12.97395,49.03363,E. carletoni,ANDRAF,,,Madagascar:ANDRAF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_11_F19_2012,F19_2012,-12.95819,49.11944,E. carletoni,MAHAR,,,Madagascar:MAHAR,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_8_F26_2012,F26_2012,-12.94759,49.12521,E. carletoni,MAHAR,,,Madagascar:MAHAR,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_F31_C_2,F31_2011,-13.12942,49.43486,E. carletoni,AMBO,,,Madagascar:AMBO,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_27_F57_2011,F57_2011,-13.13172,49.43522,E. carletoni,AMBO,,,Madagascar:AMBO,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_38_F81_2012,F81_2012,-12.94122,49.05248,E. carletoni,ANDRAF,,,Madagascar:ANDRAF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_F82_C_36,F82_2012,-12.93586,49.05819,E. carletoni,ANDRAF,,,Madagascar:ANDRAF,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_24_G20_2011,G20_2011,-13.13002,49.47275,E. carletoni,AMBO,,,Madagascar:AMBO,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_H07_A_24,H07_2011,-13.08976,49.58438,E. carletoni,SOL,,,Madagascar:SOL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_H11_2012,H11_2012,-12.86177,49.12588,E. carletoni,MAROV,,,Madagascar:MAROV,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_H30_E_5,H30_2012,-12.83465,49.15709,E. carletoni,MAROV,,,Madagascar:MAROV,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_H37_D_6,H37_2011,-13.21111,49.55832,E. carletoni,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_H39_C_13,H39_2011,-13.21183,49.55756,E. carletoni,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_H7_2012,H7_2012,-12.85455,49.13514,E. carletoni,MAROV,,,Madagascar:MAROV,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_33_I09_2015,I09_2015,-13.6246,49.24428,E. carletoni,ANDRA,,,Madagascar:ANDRA,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_24_I22_2011,I22_2011,-13.08855,49.57435,E. carletoni,SOL,,,Madagascar:SOL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_I47_E_13,I47_2011,-13.08869,49.58095,E. carletoni,SOL,,,Madagascar:SOL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_J30_2011,J30_2011,-13.24994,49.76782,E. carletoni,BOB,,,Madagascar:BOB,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_J56_B_18,J56_2011,-13.25624,49.61579,E. carletoni,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_K35_2011,K35_2011,-13.09551,49.57943,E. carletoni,SOL,,,Madagascar:SOL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_K43_2011,K43_2011,-13.27239,49.65454,E. carletoni,ANKAMY,,,Madagascar:ANKAMY,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_P25_B_4,P25_2012,-12.77658,49.48513,E. carletoni,ANALM_2,,,Madagascar:ANALM_2,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_P36_A_17,P36_2012,-12.78281,49.4722,E. carletoni,ANALM_2,,,Madagascar:ANALM_2,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_24_B25_2014,B25_2014,-13.89701,49.44081,E. ellermani,AMBALA,,,Madagascar:AMBALA,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool3_33_BC74_2017,BC74_2017,-12.52726,49.17227,E. ellermani,M_AMBRE_NORTH,,,Madagascar:M_AMBRE_NORTH,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool2_29_BD44_2017,BD44_2017,-12.52175,49.19254,E. ellermani,M_AMBRE_NORTH,,,Madagascar:M_AMBRE_NORTH,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_24_BF61_2017,BF61_2017,-13.25011,49.59513,E. ellermani,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool2_6_BF73_2017,BF73_2017,-13.28532,49.59879,E. ellermani,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_35_C84_2013,C84_2013,-13.55604,49.87817,E. ellermani,BEZ,,,Madagascar:BEZ,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_PoolX_F9_2015,F9_2015,-13.65282,49.55326,E. ellermani,AMBA,,,Madagascar:AMBA,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_PoolX_G9_2015,G09_2015,-13.45726,49.56654,E. ellermani,KABE,,,Madagascar:KABE,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_12_G30_2015,G30_2015,-13.45987,49.57375,E. ellermani,KABE,,,Madagascar:KABE,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_10_G45_2015,G45_2015,-13.34853,49.44703,E. ellermani,ANKI,,,Madagascar:ANKI,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool2_G52_2015_E_12,G52_2015,-13.34159,49.45042,E. ellermani,ANKI,,,Madagascar:ANKI,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_PoolX_H21_2011,H21_2011,-13.21329,49.5569,E. ellermani,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_H22_D_37,H22_2011,-13.21265,49.55706,E. ellermani,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_H38_D_17,H38_2011,-13.21265,49.55706,E. ellermani,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_H41_D_10,H41_2011,-13.21265,49.55706,E. ellermani,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_33_H79_2011,H79_2011,-13.21444,49.55527,E. ellermani,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool2_K55_2011_B_6,K55_2011,-13.28992,49.60658,E. ellermani,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_48_K71_2011,K71_2011,-13.28993,49.60661,E. ellermani,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_PoolX_A46_2014,A46_2014,-13.79328,49.51964,E. minor,ANDR,,,Madagascar:ANDR,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool3_36_A69_2014,A69_2014,-13.75956,49.41195,E. minor,MAL,,,Madagascar:MAL,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool1_A90_D_24,A90_2014,-13.75245,49.40905,E. minor,MAL,,,Madagascar:MAL,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool1_B72_A_52,B72_2014,-13.91378,49.41881,E. minor,AMBALA,,,Madagascar:AMBALA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_PoolX_B91_2014,B91_2014,-13.91767,49.40149,E. minor,AMBALA,,,Madagascar:AMBALA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool2_B92_E_27,B92_2014,-13.92058,49.4065,E. minor,AMBALA,,,Madagascar:AMBALA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool3_35_BK111_2018,BK111_2018,-14.18806,49.39257,E. minor,LOHANA,,,Madagascar:LOHANA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool3_6_BK143_2018,BK143_2018,-14.16067,49.23928,E. minor,ANDOHA,,,Madagascar:ANDOHA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool2_10_BK159_2018,BK159_2018,-14.15359,49.24164,E. minor,ANDOHA,,,Madagascar:ANDOHA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool3_48_BK166_2018,BK166_2018,-14.14167,49.24549,E. minor,ANDOHA,,,Madagascar:ANDOHA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool2_9_BK78_2018,BK78_2018,-14.22791,49.64715,E. minor,BEAMA,,,Madagascar:BEAMA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool2_41_E17_2014,E17_2014,-13.75705,49.58968,E. minor,ANDR,,,Madagascar:ANDR,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_PoolX_E24_2014,E24_2014,-13.73758,49.58876,E. minor,ANDR,,,Madagascar:ANDR,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool3_12_E25_2014,E25_2014,-13.74029,49.58227,E. minor,ANDR,,,Madagascar:ANDR,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool1_30_E32_2014,E32_2014,-13.74079,49.58126,E. minor,ANDR,,,Madagascar:ANDR,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool2_F10_E_11,F10_2015,-13.65424,49.56038,E. minor,AMBA,,,Madagascar:AMBA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool2_F23_D_4,F23_2015,-13.64766,49.55581,E. minor,AMBA,,,Madagascar:AMBA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool2_F37_D_20,F37_2015,-13.55122,49.53839,E. minor,ANTSA,,,Madagascar:ANTSA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool1_F54_C_24,F54_2015,-13.5576,49.53974,E. minor,ANTSA,,,Madagascar:ANTSA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool1_F55_C_21,F55_2015,-13.55695,49.53948,E. minor,ANTSA,,,Madagascar:ANTSA,,RAD-seq of Eliurus minor : adult ear biopsy
PL1_Pool2_A47_2013_C_7,A47_2013,-13.61318,49.99102,E. myoxinus,ANALV,,,Madagascar:ANALV,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_B105_2013_C_19,B105_2013,-13.44051,49.71204,E. myoxinus,SAL,,,Madagascar:SAL,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_B17_2013,B17_2013,-13.44332,49.83579,E. myoxinus,ANALF,,,Madagascar:ANALF,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_B20_2013,B20_2013,-13.46023,49.82661,E. myoxinus,ANALF,,,Madagascar:ANALF,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_48_B51_2012,B51_2012,-12.91797,49.32937,E. myoxinus,ANDF,,,Madagascar:ANDF,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool3_29_B81_2013,B81_2013,-13.44763,49.70726,E. myoxinus,SAL,,,Madagascar:SAL,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_B88_2013_C_38,B88_2013,-13.43074,49.70722,E. myoxinus,SAL,,,Madagascar:SAL,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool1_1_BE78_2017,BE78_2017,-13.262,49.60656,E. myoxinus,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool1_20_BF20_2017,BF20_2017,-13.27454,49.60973,E. myoxinus,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool1_22_BF42_2017,BF42_2017,-13.28253,49.61072,E. myoxinus,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool1_9_BF74_2017,BF74_2017,-13.28754,49.59848,E. myoxinus,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool1_34_BK100_2018,BK100_2018,-14.24838,49.60216,E. myoxinus,AMBATO,,,Madagascar:AMBATO,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool3_11_BK21_2018,BK21_2018,-14.24828,49.74902,E. myoxinus,ANDRANO,,,Madagascar:ANDRANO,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool3_38_BK61_2018,BK61_2018,-14.24036,49.65551,E. myoxinus,BEAMA,,,Madagascar:BEAMA,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_C10_2013,C10_2013,-13.55535,49.90294,E. myoxinus,BEZ,,,Madagascar:BEZ,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_C58_2013_C_14,C58_2013,-13.56158,49.90219,E. myoxinus,BEZ,,,Madagascar:BEZ,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool3_22_D25_2012,D25_2012,-13.11766,49.21157,E. myoxinus,TSAKA,,,Madagascar:TSAKA,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool1_D75_B_15,D75_2012,-13.11674,49.23788,E. myoxinus,TSAKA,,,Madagascar:TSAKA,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_D79_2012,D79_2012,-13.11718,49.23765,E. myoxinus,TSAKA,,,Madagascar:TSAKA,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_E11_D_8,E11_2014,-13.74913,49.59581,E. myoxinus,ANDR,,,Madagascar:ANDR,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_F81_2015,F81_2015,-13.53363,49.54598,E. myoxinus,ANTSA,,,Madagascar:ANTSA,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_G33_2015_D_20,G33_2015,-13.46074,49.57759,E. myoxinus,KABE,,,Madagascar:KABE,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_G6_2015,G6_2015,-13.46135,49.56617,E. myoxinus,KABE,,,Madagascar:KABE,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_G76_2015_E_14,G76_2015,-13.35958,49.44322,E. myoxinus,ANKI,,,Madagascar:ANKI,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_H19_2011,H19_2011,-13.21448,49.55575,E. myoxinus,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool1_H20_D_2,H20_2011,-13.21265,49.55706,E. myoxinus,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_H26_2011,H26_2011,-13.2163,49.56255,E. myoxinus,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_H49_2011,H49_2011,-13.20529,49.5632,E. myoxinus,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_I10_2015,I10_2015,-13.62444,49.24383,E. myoxinus,ANDRA,,,Madagascar:ANDRA,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_39_I11_2015,I11_2015,-13.62396,49.24358,E. myoxinus,ANDRA,,,Madagascar:ANDRA,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_J60_2011,J60_2011,-13.27434,49.61935,E. myoxinus,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_J61_2011,J61_2011,-13.27654,49.61769,E. myoxinus,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_K60_2011_B_7,K60_2011,-13.09044,49.57916,E. myoxinus,SOL,,,Madagascar:SOL,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool2_K64_2011_B_8,K64_2011,-13.29461,49.60644,E. myoxinus,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_PoolX_P72_2012,P72_2012,-13.1085,49.24591,E. myoxinus,TSAKA,,,Madagascar:TSAKA,,RAD-seq of Eliurus myoxinus : adult ear biopsy
PL1_Pool3_32_BC51_2017,BC51_2017,-12.51994,49.18104,Eliurus sp. nova,M_AMBRE_NORTH,,,Madagascar:M_AMBRE_NORTH,,RAD-seq of Eliurus sp. : adult ear biopsy
PL1_Pool1_27_BD29_2017,BD29_2017,-12.5082,49.18153,Eliurus sp. nova,M_AMBRE_NORTH,,,Madagascar:M_AMBRE_NORTH,,RAD-seq of Eliurus sp. : adult ear biopsy
PL1_Pool2_46_BD68_2017,BD68_2017,-12.65919,49.17768,Eliurus sp. nova,M_AMBRE_SOUTH,,,Madagascar:M_AMBRE_SOUTH,,RAD-seq of Eliurus sp. : adult ear biopsy
PL1_Pool1_36_BE35_2017,BE35_2017,-12.67702,49.17084,Eliurus sp. nova,M_AMBRE_SOUTH,,,Madagascar:M_AMBRE_SOUTH,,RAD-seq of Eliurus sp. : adult ear biopsy
PL1_Pool3_8_BG61_2017,BG61_2017,-12.70442,49.14583,Eliurus sp. nova,M_AMBRE_SOUTH,,,Madagascar:M_AMBRE_SOUTH,,RAD-seq of Eliurus sp. : adult ear biopsy
PL1_Pool2_11_BG72_2017,BG72_2017,-12.69357,49.14442,Eliurus sp. nova,M_AMBRE_SOUTH,,,Madagascar:M_AMBRE_SOUTH,,RAD-seq of Eliurus sp. : adult ear biopsy
PL1_Pool3_34_BG77_2017,BG77_2017,-12.70927,49.13926,Eliurus sp. nova,M_AMBRE_SOUTH,,,Madagascar:M_AMBRE_SOUTH,,RAD-seq of Eliurus sp. : adult ear biopsy
PL1_Pool3_45_BH10_2017,BH10_2017,-12.70601,49.13793,Eliurus sp. nova,M_AMBRE_SOUTH,,,Madagascar:M_AMBRE_SOUTH,,RAD-seq of Eliurus sp. : adult ear biopsy